id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes,dataset_id,dataset_name,category_id,category_name,subcategory_id,subcategory_name
mdl172_grwsuminus2,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8508,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_ifadjgr1,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8655,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_ifadjgr2,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8655,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_infadna,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8655,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_invgrow5,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.7729,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_levdrdif,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8645,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_leveragemkt,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.7573,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_lvtkmvni,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.6245,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_mark_cap,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8654,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_mininter,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.5732,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_minorityint,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.5743,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
mdl172_mktcapus,No field description,"{'id': 'model172', 'name': 'Model172'}","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.8654,0,0,1.4,[],model172,Model172,model,Model,model-valuation-models,Valuation Models
