id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes,dataset_id,dataset_name,category_id,category_name,subcategory_id,subcategory_name
rsk74_nondomicile,The standardized or smoothed value of a company's exposure to countries other than its home country.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,0.9176,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_ort,A field representing the overall risk or total exposure to all countries combined.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,0.9255,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_raw_concentration,The unadjusted measure of how concentrated a company's revenue or assets are in specific countries.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,0.9176,0.628,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_raw_crowding,"The unprocessed or original measure of crowding, before any adjustments or smoothing.","{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_raw_exp_chn,The unadjusted value of a company's exposure to China.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,0.9176,0.8287,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_raw_exp_nondomicile1,The unadjusted value of a company's exposure to its largest non-home country.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,0.9176,0.7045,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_raw_exp_nondomicile2,The unadjusted value of a company's exposure to its second-largest non-home country.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,0.9176,0.628,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_raw_exp_usa,The unadjusted value of a company's exposure to the United States.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,0.9176,0.8375,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_raw_inflation,"The unadjusted or raw measure of inflation, before any standardization.","{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_raw_yldspread,The unadjusted or raw yield spread between two interest rates or bonds.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_resvol,"The residual volatility factor, measuring price variability not explained by other factors.","{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_resvol_ts,"The time series of residual volatility, tracking unexplained price fluctuations over time.","{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_shortint,"The current level of short interest, representing the proportion of shares sold short.","{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.996,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_shortint_ts,"The time series of short interest, showing how the proportion of shares sold short changes over time.","{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.9948,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_std_exp_nondomicile1,The standardized value of a company's exposure to its largest non-home country.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,0.9255,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_std_exp_nondomicile2,The standardized value of a company's exposure to its second-largest non-home country.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,0.9255,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_value,"A value factor score, indicating how cheap or expensive a stock is relative to fundamentals.","{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.9354,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_value_ts,"The time series of value factor scores, showing how valuation metrics change over time.","{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.9819,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_valuearn,"A combined value and earnings factor, integrating valuation and earnings yield metrics.","{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,0.9821,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
rsk74_yldspread,The standardized or smoothed yield spread between two interest rates or bonds.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
tariff_risk_score,Score indicating the degree to which a company is exposed to tariff risks.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
tariff_risk_score_specialized,Specialized score measuring company’s exposure to specific tariff risks.,"{'id': 'risk74', 'name': 'Risk Factors'}","{'id': 'risk', 'name': 'Risk'}","{'id': 'risk-risk-models', 'name': 'Risk Models'}",EUR,1,TOPCS1600,MATRIX,1.0,1.0,0,0,1.1,[],risk74,Risk Factors,risk,Risk,risk-risk-models,Risk Models
